,Mean
2001-06-01,81.4
2001-07-01,102.9
2001-08-01,111.1
2001-09-01,328.6
2001-10-01,124.5
2001-11-01,4.3
2001-12-01,11.2
2002-01-01,8.0
2002-02-01,91.5
2002-03-01,33.4
2002-04-01,56.0
2002-05-01,45.5
2002-06-01,128.9
2002-07-01,76.0
2002-08-01,230.5
2002-09-01,41.0
2002-10-01,3.0
2002-11-01,0.1
2002-12-01,2.5
2003-01-01,35.5
2003-02-01,41.9
2003-03-01,30.1
2003-04-01,46.5
2003-05-01,98.0
2003-06-01,84.9
2003-07-01,44.5
2003-08-01,14.0
2003-09-01,3.9
2003-10-01,30.9
2003-11-01,30.0
2003-12-01,20.3
2004-01-01,42.0
2004-02-01,54.6
2004-03-01,42.7
2004-04-01,110.7
2004-05-01,113.5
2004-06-01,112.3
2004-07-01,53.2
2004-08-01,7.4
2004-09-01,6.1
2004-10-01,8.1
2004-11-01,8.3
2004-12-01,139.1
2005-01-01,47.8
2005-02-01,50.6
2005-03-01,117.7
2005-04-01,98.9
2005-05-01,110.8
2005-06-01,66.0
2005-07-01,8.3
2005-08-01,2.3
2005-09-01,21.7
2005-10-01,108.8
2005-11-01,112.4
2005-12-01,62.4
2006-01-01,43.5
2006-02-01,81.6
2006-03-01,98.4
2006-04-01,379.8
2006-05-01,152.8
